input_baseline,result_name,value,units,linked_requirement,status
baseline_v1,baseline_range,101.454208229183,km,CSS-REQ-RANGE,Pass
baseline_v1,baseline_total_mass,20.0004247366633,kg,CSS-MASS-PROPERTY,Information
baseline_v1,baseline_battery_mass,2.46666666666667,kg,CSS-BATTERY-PROPERTY,Information
baseline_v1,baseline_LD,15.5669250347483,-,CSS-AERO-PROPERTY,Information
baseline_v1,battery_capacity_baseline,20,Ah,CSS-BATTERY-PROPERTY,Information
baseline_v1,range_at_10Ah_battery_mass_model,53.38,km,CSS-REQ-RANGE,Fail
baseline_v1,range_at_20Ah_battery_mass_model,101.45,km,CSS-REQ-RANGE,Pass
baseline_v1,range_at_30Ah_battery_mass_model,144.53,km,CSS-REQ-RANGE,Pass
baseline_v1,range_at_CD0_0_02,125.97,km,CSS-REQ-RANGE,Pass
baseline_v1,range_at_CD0_0_03,101.45,km,CSS-REQ-RANGE,Pass
baseline_v1,range_at_CD0_0_04,84.93,km,CSS-REQ-RANGE,Fail
baseline_v1,range_at_CD0_0_05,73.03,km,CSS-REQ-RANGE,Fail
baseline_v1,payload_limit_for_100km,2.32323232323232,kg,CSS-REQ-RANGE,Pass
baseline_v1,range_at_payload_limit,100.096631349434,km,CSS-REQ-RANGE,Pass
baseline_v1,best_cruise_speed,85.4545454545455,km/h,CSS-REQ-RANGE,Information
baseline_v1,maximum_range_at_best_cruise_speed,102.908428836737,km,CSS-REQ-RANGE,Pass
